Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Fred Jackson,BUF,30,RB,10,10,170,934,6,38,80,5.5,93.4,2,2011
Daniel Thomas,MIA,24,RB,13,2,165,581,0,25,28,3.5,44.7,2,2011
DeMarco Murray,DAL,23,RB,13,7,164,897,2,42,91,5.5,69,1,2011
Peyton Hillis,CLE,25,RB,10,9,161,587,3,33,24,3.6,58.7,2,2011
DeAngelo Williams,CAR,28,RB,16,14,155,836,7,33,74,5.4,52.3,0,2011
Thomas Jones,KAN,33,RB,16,8,153,478,0,19,26,3.1,29.9,0,2011
Michael Turner,ATL,28,RB,16,15,334,1371,12,75,55,4.1,85.7,2,2010
Steven Jackson,STL,27,RB,16,16,330,1241,6,60,42,3.8,77.6,1,2010
Arian Foster,HOU,24,RB,16,13,327,1616,16,90,74,4.9,101,3,2010
Rashard Mendenhall,PIT,23,RB,16,16,324,1273,13,61,50,3.9,79.6,2,2010
Cedric Benson,CIN,28,RB,16,16,321,1111,7,59,26,3.5,69.4,7,2010
Chris Johnson,TEN,25,RB,16,16,316,1364,11,57,76,4.3,85.3,3,2010
Ray Rice,BAL,23,RB,16,14,307,1220,5,53,50,4,76.3,0,2010
Maurice Jones-Drew,JAX,25,RB,14,14,299,1324,5,74,37,4.4,94.6,2,2010
Adrian Peterson,MIN,25,RB,15,15,283,1298,12,71,80,4.6,86.5,1,2010
Ahmad Bradshaw,NYG,24,RB,16,11,276,1235,8,53,48,4.5,77.2,7,2010
Peyton Hillis,CLE,24,RB,16,14,270,1177,11,58,48,4.4,73.6,8,2010
Thomas Jones,KAN,32,RB,16,10,245,896,6,39,70,3.7,56,3,2010
Matt Forte,CHI,25,RB,16,16,237,1069,6,43,68,4.5,66.8,3,2010
Jamaal Charles,KAN,24,RB,16,6,230,1467,5,70,80,6.4,91.7,3,2010
BenJarvus Green-Ellis,NWE,25,RB,16,11,229,1008,13,65,33,4.4,63,0,2010
Darren McFadden,OAK,23,RB,13,13,223,1157,7,46,57,5.2,89,4,2010
Fred Jackson,BUF,29,RB,16,13,222,927,5,40,39,4.2,57.9,5,2010
LaDainian Tomlinson,NYJ,31,RB,15,13,219,914,6,43,31,4.2,60.9,3,2010
LeSean McCoy,PHI,22,RB,15,13,207,1080,7,46,62,5.2,72,2,2010
Frank Gore,SFO,27,RB,11,11,203,853,3,42,64,4.2,77.5,4,2010
Marshawn Lynch,2TM,24,RB,16,14,202,737,6,0,39,3.6,46.1,4,2010
LeGarrette Blount,TAM,24,RB,13,7,201,1007,6,38,53,5,77.5,4,2010
Ronnie Brown,MIA,29,RB,16,16,200,734,5,40,51,3.7,45.9,3,2010
Brandon Jackson,GNB,25,RB,16,13,190,703,3,30,71,3.7,43.9,1,2010
Shonn Greene,NYJ,25,RB,15,2,185,766,2,41,23,4.1,51.1,3,2010
Felix Jones,DAL,23,RB,16,7,185,800,1,41,34,4.3,50,2,2010
Knowshon Moreno,DEN,23,RB,13,13,182,779,5,35,35,4.3,59.9,3,2010
Mike Tolbert,SDG,25,RB,15,4,182,735,11,43,36,4,49,5,2010
Jonathan Stewart,CAR,23,RB,14,7,178,770,2,32,48,4.3,55,4,2010
Chris Johnson,TEN,24,RB,16,16,358,2006,14,80,91,5.6,125.4,3,2009
Thomas Jones,NYJ,31,RB,16,16,331,1402,14,66,71,4.2,87.6,2,2009
Steven Jackson,STL,26,RB,15,15,324,1416,4,59,58,4.4,94.4,2,2009
Adrian Peterson,MIN,24,RB,16,15,314,1383,18,76,64,4.4,86.4,7,2009
